CIRCOSCRIZIONE,COLLEGIO PLURINOMINALE,COLLEGIO UNINOMINALE,COMUNE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LUGNACCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,LUSIGLIE'
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MAGLIONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MATHI
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MERCENASCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MEUGLIANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MEZZENILE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MONASTERO DI LANZO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MONTALENGHE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,MONTALTO DORA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,NOASCA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,NOLE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,NOMAGLIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,OGLIANICO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,ORIO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,OZEGNA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PALAZZO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PARELLA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PAVONE CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PECCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PEROSA CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PERTUSIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PESSINETTO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PIVERONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PONT-CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PRASCORSANO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,PRATIGLIONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,QUAGLIUZZO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,QUASSOLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,QUINCINETTO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,RIBORDONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,RIVARA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,RIVAROLO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,RIVAROSSA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,ROBASSOMERO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,ROCCA CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,ROMANO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,RONCO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,RUEGLIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SALASSA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SALERANO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAMONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN CARLO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN COLOMBANO BELMONTE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN FRANCESCO AL CAMPO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN GIORGIO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN GIUSTO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN MARTINO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN MAURIZIO CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SAN PONSO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SCARMAGNO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SETTIMO ROTTARO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SETTIMO VITTONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,SPARONE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,STRAMBINELLO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,STRAMBINO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,TAVAGNASCO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,TORRE CANAVESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,TRAUSELLA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,TRAVERSELLA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,TRAVES
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,USSEGLIO
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VALLO TORINESE
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VALPERGA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VALPRATO SOANA
PIEMONTE 1,PIEMONTE 1 - 02,PIEMONTE 1 - 05 - IVREA,VARISELLA
